Type,Time,Error,Gradient Type
sinus 1 Input 7 Sets 50 Epochs,0.5393402890000001,0.003014887,Mini-Batch Gradient Descent
sinus 1 Input 7 Sets 100 Epochs,0.7241132659999998,0.00050741923,Mini-Batch Gradient Descent
sinus 1 Input 7 Sets 150 Epochs,0.8786081499999998,0.00031118092,Mini-Batch Gradient Descent
sinus 1 Input 7 Sets 200 Epochs,1.174089049,0.000515841,Mini-Batch Gradient Descent
sinus 1 Input 7 Sets 250 Epochs,1.2726113230000005,0.0003228938,Mini-Batch Gradient Descent
sinus 1 Input 7 Sets 300 Epochs,1.4373205219999994,0.00034793152,Mini-Batch Gradient Descent
sinus 1 Input 2 Sets 40 Epochs,0.184827705,0.12084436,Batch Gradient Descent
sinus 1 Input 2 Sets 50 Epochs,0.20609018599999995,0.122264445,Batch Gradient Descent
sinus 1 Input 2 Sets 100 Epochs,0.3163224470000001,0.12650502,Batch Gradient Descent
sinus 1 Input 2 Sets 200 Epochs,0.500793523,0.19656047,Batch Gradient Descent
sinus 1 Input 2 Sets 1000 Epochs,2.0845419579999995,0.004832471,Batch Gradient Descent
sinus 1 Input 2 Sets 2000 Epochs,3.9534770919999995,0.0048219627,Batch Gradient Descent
sinus 1 Input 3 Sets 100 Epochs,0.39721588399999996,0.0032194606,Batch Gradient Descent
sinus 1 Input 3 Sets 1000 Epochs,2.4473821759999996,0.00012285315,Batch Gradient Descent
sinus 1 Input 3 Sets 2000 Epochs,4.798533549,9.4610026e-05,Batch Gradient Descent
sinus 1 Input 4 Sets 100 Epochs,0.45745151200000045,0.0023755939,Batch Gradient Descent
sinus 1 Input 4 Sets 200 Epochs,0.7421358040000001,0.00094180624,Batch Gradient Descent
sinus 1 Input 4 Sets 1000 Epochs,2.886741514,0.00019104294,Batch Gradient Descent
sinus 1 Input 4 Sets 2000 Epochs,5.439297849000001,0.00014808116,Batch Gradient Descent
sinus 1 Input 5 Sets 100 Epochs,0.5263407560000002,0.0005942325,Batch Gradient Descent
sinus 1 Input 5 Sets 200 Epochs,0.8453553040000004,0.000191718,Batch Gradient Descent
sinus 1 Input 5 Sets 1000 Epochs,3.271786314,7.887247e-05,Batch Gradient Descent
sinus 1 Input 5 Sets 2000 Epochs,6.410032714,9.574712e-05,Batch Gradient Descent
sinus 1 Input 6 Sets 100 Epochs,0.6238709340000002,0.0008111417,Batch Gradient Descent
sinus 1 Input 6 Sets 200 Epochs,1.0042142410000006,0.00053949084,Batch Gradient Descent
sinus 1 Input 6 Sets 1000 Epochs,3.767050662000001,0.00010611875,Batch Gradient Descent
sinus 1 Input 6 Sets 2000 Epochs,7.154117018999999,7.156945e-05,Batch Gradient Descent
sinus 1 Input 7 Sets 100 Epochs,0.6943817179999998,0.00031472504,Batch Gradient Descent
sinus 1 Input 7 Sets 200 Epochs,1.163890458,0.00014967039,Batch Gradient Descent
sinus 1 Input 7 Sets 1000 Epochs,4.1554546,4.0024686e-05,Batch Gradient Descent
sinus 1 Input 7 Sets 2000 Epochs,12.722449047,1.272338e-05,Batch Gradient Descent
sinus 1 Input 7 Sets 2000 Epochs,8.552996273,0.60090655,Stochastic Gradient Descent
sinus 1 Input 7 Sets 2000 Epochs,8.009168792,0.40113938,Stochastic Gradient Descent
sinus 1 Input 7 Sets 500 Epochs,2.4156757860000004,5.5096465e-05,Mini-Batch Gradient Descent
sinus 1 Input 7 Sets 500 Epochs,2.271902389,0.00017262796,Mini-Batch Gradient Descent
sinus 1 Input 7 Sets 100 Epochs,0.7477509580000001,0.00034119145,Batch Gradient Descent
sinus 1 Input 7 Sets 100 Epochs,0.827883108,0.00028487167,Batch Gradient Descent
sinus 1 Input 7 Sets 100 Epochs,0.8575861620000005,0.0003374128,Batch Gradient Descent
sinus 1 Input 7 Sets 2000 Epochs,7.952673836000001,0.49184242,Stochastic Gradient Descent
sinus 1 Input 7 Sets 2000 Epochs,8.743349741,2.7756216e-05,Batch Gradient Descent
